model,date,mean_alpha,mean_abs_alpha,std_alpha,frac_sig_5pct,mean_t_alpha,se_mean_alpha,ci_low,ci_high
Carhart,1946-03-01,1.225594413069113e-05,0.0019669679118790293,0.0031695964421601425,0.0,0.20861397077615454,0.0006339192884320285,-0.0012302258611960849,0.001254737749457467
Carhart,1946-04-01,6.852306573398373e-05,0.0019383846125316153,0.0030815503147029123,0.0,0.19880430009906988,0.0006163100629405824,-0.0011394446576295577,0.0012764907890975253
Carhart,1946-05-01,4.7296783966609725e-05,0.0019279832305606399,0.0030741872111017202,0.0,0.19155767532463053,0.000614837442220344,-0.0011577846027852644,0.001252378170718484
Carhart,1946-06-01,0.00012693703501129593,0.0018610965623632172,0.0028806330795581136,0.0,0.18898966338080556,0.0005761266159116227,-0.0010022711321754846,0.0012561452021980764
Carhart,1946-07-01,0.00010019330932064269,0.0017875244441769099,0.002668195803707346,0.0,0.1781198768483753,0.0005336391607414692,-0.000945739445732637,0.0011461260643739223
Carhart,1946-08-01,7.690479632938344e-05,0.0018349173314655034,0.002805422040896499,0.0,0.18965069400387644,0.0005610844081792998,-0.0010228206437020442,0.0011766302363608113
Carhart,1946-09-01,0.00041145460187512744,0.0017526303399326504,0.002343449211324385,0.04,0.2896043979524181,0.00046868984226487704,-0.0005071774889640315,0.0013300866927142864
Carhart,1946-10-01,8.649368354521671e-05,0.0017802200570786206,0.002496833602032654,0.04,0.16966213881290684,0.0004993667204065309,-0.0008922650884515837,0.0010652524555420171
Carhart,1946-11-01,3.933391175461652e-05,0.0016086477147039784,0.002291268568880607,0.0,0.1540995203979379,0.0004582537137761214,-0.0008588433672465815,0.0009375111907558145
Carhart,1946-12-01,0.0001210190693742494,0.0014659578711551278,0.0020458590277697445,0.0,0.16227388102759968,0.0004091718055539489,-0.0006809576695114905,0.0009229958082599892
Carhart,1947-01-01,0.00010204382579372534,0.001468027039222057,0.0020278209978207592,0.0,0.15301613148336501,0.00040556419956415185,-0.0006928620053520123,0.0008969496569394629
Carhart,1947-02-01,0.00018591896488516683,0.0013499281807539593,0.0017444704040449333,0.0,0.1622634290614972,0.00034889408080898666,-0.000497913433500447,0.0008697513632707807
Carhart,1947-03-01,0.00017117865642182113,0.0011668166061980878,0.0014215208834235107,0.0,0.10613852413714638,0.0002843041766847021,-0.00038605752988019504,0.0007284148427238373
Carhart,1947-04-01,0.0002748474461736672,0.0013232887744134446,0.001589481100811083,0.0,0.1186209746277785,0.0003178962201622166,-0.00034822914534427733,0.0008979240376916117
Carhart,1947-05-01,0.0005002166648490081,0.0013383732977747455,0.0016049368488369104,0.0,0.2043313078380546,0.0003209873697673821,-0.00012891857989506068,0.0011293519095930769
Carhart,1947-06-01,0.0005270932966135153,0.001321889749081843,0.001508096985208416,0.0,0.21239681738630517,0.0003016193970416832,-6.408072158818384e-05,0.0011182673148152143
Carhart,1947-07-01,0.0004532330711414973,0.001232274006421286,0.00144068179624494,0.0,0.19663018257817722,0.000288136359248988,-0.00011151419298651924,0.001017980335269514
Carhart,1947-08-01,0.00036385008521208113,0.0012634840733243865,0.0014870100115774007,0.0,0.16802335870485463,0.00029740200231548016,-0.00021905783932625996,0.0009467580097504223
Carhart,1947-09-01,0.0002564967810452953,0.001298773887034001,0.0015286488501624687,0.0,0.15648416209163124,0.00030572977003249374,-0.0003427335682183924,0.000855727130308983
Carhart,1947-10-01,0.00033376432389429215,0.0013117881624181123,0.0015282869277120803,0.0,0.18646265836329687,0.00030565738554241606,-0.00026532415176884337,0.0009328527995574277
Carhart,1947-11-01,0.0002794518272998237,0.0015361104427745493,0.001919112941364549,0.0,0.22462928642216937,0.0003838225882729098,-0.0004728404457150795,0.0010317441003147268
Carhart,1947-12-01,0.00031988391719527554,0.0015593177247596923,0.001954636253470586,0.0,0.23660182129685384,0.0003909272506941172,-0.00044633349416519415,0.0010861013285557452
Carhart,1948-01-01,0.0002018110772177386,0.0015879156680715103,0.0020208183999105025,0.0,0.19452791050592164,0.0004041636799821005,-0.0005903497355471784,0.0009939718899826555
Carhart,1948-02-01,0.00012899385065877285,0.0015196695734755786,0.0019832969980433848,0.0,0.15917483163277038,0.00039665939960867693,-0.0006484585725742339,0.0009064462738917797
Carhart,1948-03-01,0.00011962790192227256,0.0015320241704706893,0.0019325607752814402,0.0,0.15528733192260213,0.00038651215505628806,-0.000637935921988052,0.0008771917258325971
Carhart,1948-04-01,0.0001461180008957866,0.0015506035892808604,0.001962292854292195,0.0,0.1540083155621203,0.000392458570858439,-0.0006231007979867538,0.000915336799778327
Carhart,1948-05-01,0.0003185829044744109,0.0014995333723140764,0.0018182353928900149,0.0,0.21182588946026087,0.000363647078578003,-0.000394165369538475,0.0010313311784872967
Carhart,1948-06-01,0.0003561152835530851,0.001471251391761845,0.0018233034020924252,0.0,0.21306500721010668,0.00036466068041848506,-0.0003586196500671456,0.0010708502171733157
Carhart,1948-07-01,0.0002679540779706486,0.0014161767558165397,0.0017443125089221865,0.0,0.1657398447666986,0.0003488625017844373,-0.00041581642552684857,0.0009517245814681457
Carhart,1948-08-01,0.00039609392465999563,0.0014479902234884145,0.0017604138864245084,0.04,0.21813264498229715,0.0003520827772849017,-0.0002939883188184117,0.0010861761681384028
Carhart,1948-09-01,0.00046939927506221206,0.0013523243843029905,0.0016594012265828603,0.04,0.24924303568329226,0.00033188024531657207,-0.0001810860057582692,0.0011198845558826934
Carhart,1948-10-01,0.0004623718786989238,0.0012980226174760712,0.0016286762717117663,0.04,0.2195511184786876,0.00032573525434235323,-0.0001760692198120885,0.001100812977209936
Carhart,1948-11-01,0.0007645182982890366,0.0013946172367217409,0.0018041241366384846,0.08,0.35128257531150114,0.00036082482732769695,5.730163672675059e-05,0.0014717349598513227
Carhart,1948-12-01,0.00084143545978265,0.0014278146003485759,0.0018153015622342956,0.08,0.351725506470523,0.00036306031244685914,0.00012983724738680608,0.001553033672178494
Carhart,1949-01-01,0.0007320656339367057,0.0014154206199406161,0.0018088894925998421,0.08,0.3112361336838092,0.0003617778985199684,2.2980952837567663e-05,0.0014411503150358437
Carhart,1949-02-01,0.0006092380393164909,0.0016345163667116857,0.00195572988677623,0.04,0.26376343421536463,0.00039114597735524597,-0.0001574080762997912,0.0013758841549327732
Carhart,1949-03-01,0.0005090742799226611,0.0015015479026754639,0.0018017422849675828,0.04,0.23483923876875054,0.00036034845699351657,-0.00019720869578463134,0.0012153572556299536
Carhart,1949-04-01,0.0004766553946432947,0.0015479357005084632,0.0019341423725900773,0.04,0.21318788038833156,0.00038682847451801546,-0.0002815284154120156,0.001234839204698605
Carhart,1949-05-01,0.0004310167600386893,0.0015119546542105783,0.0019248904795139542,0.04,0.20602789591829265,0.0003849780959027908,-0.0003235403079307807,0.0011855738280081593
